canal,url_canal,nome_video,url_video,data_visualizacao
Pânico Retrô,https://www.youtube.com/channel/UC2IEgRZcIuemAPJqXa2nHvQ,EDUARDO BOLSONARO E ANDRÉ MARINHO TRETARAM FEIO NO PÂNICO | Pânico 2021 #94Pânico Retrô25 de jul. de 2021 17:55:05 BRT,https://www.youtube.com/watch?v=PD9Lk1YleWk,2021-07-25 17:55:05
Pânico Retrô,https://www.youtube.com/channel/UC2IEgRZcIuemAPJqXa2nHvQ,GABRIEL MONTEIRO NO PÂNICO - MELHORES MOMENTOS | Pânico 2021 #129Pânico Retrô25 de jul. de 2021 17:55:00 BRT,https://www.youtube.com/watch?v=fOB0GYmAz7U,2021-07-25 17:55:00
Gabriel Monteiro,https://www.youtube.com/channel/UCYCMK_puWK2V5AtdQNIOnhw,"VEIO ME EXPULSAR DO HOSPITAL, MAS FOI FLAGRADO! POLÍCIA AGINDOGabriel Monteiro25 de jul. de 2021 17:54:57 BRT",https://www.youtube.com/watch?v=RpfoCFRGHbo,2021-07-25 17:54:57
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,RASPAGEM de DADOS com PYTHON usando BeautifulSoup | Python na Prática #9Programação Dinâmica25 de jul. de 2021 02:09:53 BRT,https://www.youtube.com/watch?v=kqvWOcPog4s,2021-07-25 02:09:53
Jonny Kalambay,https://www.youtube.com/channel/UCUm0chMKj4MA7q9CWZXWhiA,Como Utilizar la API de SpotifyJonny Kalambay23 de jul. de 2021 22:36:44 BRT,https://www.youtube.com/watch?v=PfL_v6A4fsI,2021-07-23 22:36:44
Dev Aprender,https://www.youtube.com/channel/UCm63tB8wsKOVvxoU4iMpS2A,Criei uma NOVA FUNCIONALIDADE no Spotify com PYTHONDev Aprender23 de jul. de 2021 22:36:42 BRT,https://www.youtube.com/watch?v=AJcSX_IfDp8,2021-07-23 22:36:42
Otávio Miranda,https://www.youtube.com/channel/UCORZcu08VQiRCKpVGHTWwAA,Consumindo uma API Rest usando requests em PythonOtávio Miranda23 de jul. de 2021 22:35:30 BRT,https://www.youtube.com/watch?v=Qd8JT0bnJGs,2021-07-23 22:35:30
MotechApp,https://www.youtube.com/channel/UCtuaigKZF3okQnKON5RM1qQ,"How To Copy, Append And Replace In Python PandasMotechApp20 de jul. de 2021 23:46:01 BRT",https://www.youtube.com/watch?v=Tp7SH95RKl4,2021-07-20 23:46:01
Geração Analítica,https://www.youtube.com/channel/UChLeZUQMhvyBaKHgkkjttuQ,Unindo Dataframes - Merge | Concat | Join DataFrames #18Geração Analítica20 de jul. de 2021 23:31:04 BRT,https://www.youtube.com/watch?v=ubMG7VjPmhs,2021-07-20 23:31:04
Data School,https://www.youtube.com/channel/UCnVzApLJE2ljPZSeQylSEyg,How do I merge DataFrames in pandas?Data School20 de jul. de 2021 23:30:53 BRT,https://www.youtube.com/watch?v=iYWKfUOtGaw,2021-07-20 23:30:53
